site,genome,hits,gene_counts,Completeness,Contamination,domain,phylum,class,order,family,genus,species
D4,12,100,2672,73.12,3.56,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770725.1
D4,13,98,2618,69.25,0.76,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Dechlorosoma,Dechlorosoma suillum
D4,14,11,915,68.27,1.08,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D4,15,16,862,68.23,1.08,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D4,16,47,1132,64.81,1.2,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D4,17,61,2469,62.76,2.76,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
D4,18,63,2250,62.31,2.46,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,NA,NA
D4,19,128,2751,60.41,5.57,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D4,20,4,611,57.03,0.99,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,NA
D4,21,3,650,56.73,0.99,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D4,22,6,568,54.62,0,Bacteria,Patescibacteria,ABY1,GCA-002771165,NA,NA,NA
D4,24,80,2251,51.72,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,25,73,2617,50.86,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,NA
D4,26,15,2076,47.84,7.27,Bacteria,Actinobacteriota,UBA9087,UBA9087,NA,NA,NA
D4,27,13,741,47.14,0,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,NA
D4,28,10,574,45.84,0,Archaea,Thermoplasmatota,CG49143,CG49143,NA,NA,NA
D4,29,12,958,44.44,0.9,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA
D4,30,77,3122,42.05,6.45,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,NA
D4,31,18,1036,40.83,2.13,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,NA,NA,NA
D4,32,2,632,39.48,1.39,Bacteria,Patescibacteria,Paceibacteria,UBA9983,NA,NA,NA
D4,33,19,589,34.75,0,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D4,34,10,559,32.71,0,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,RBG-16-62-10,NA
D4,35,3,1008,29.73,4.46,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D4,36,2,466,29.32,9.26,Bacteria,Patescibacteria,ABY1,UBA2591,UBA2591,NA,NA
D4,37,72,1602,29.31,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp5
D4,38,88,3057,28.93,3.45,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D4,39,10,519,28.45,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,40,9,388,23.35,0,Bacteria,Chloroflexota,Anaerolineae,UBA7937,UBA7937,NA,NA
D4,41,60,1825,20.61,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,NA
D4,42,50,1495,18.97,0,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
D4,43,18,481,17.64,2.25,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D4,44,112,2576,14.95,1.72,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
D4,45,40,963,10.34,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
D5,1,100,2749,100,0.91,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,NA,NA
D5,2,172,5063,97.4,1.76,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,NA,NA
D5,3,85,2796,97.15,0.32,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,NA,NA,NA
D5,4,75,2996,93.6,1.35,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA2336,NA
D5,5,62,2488,93.36,2.14,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,NA,NA
D5,6,89,3008,92.23,2.33,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,NA
D5,7,60,1981,91.61,2.77,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,NA,NA
D5,8,86,2964,84.62,0,Bacteria,Gemmatimonadota,GCA-2686955,NA,NA,NA,NA
D5,9,28,1096,84.46,0.06,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,NA
D5,10,83,5560,79.15,6.2,Bacteria,Eremiobacterota,Eremiobacteria,Eremiobacterales,NA,NA,NA
D5,11,52,2026,78.12,15.88,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D5,12,54,3677,77.44,3.41,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D5,13,98,3126,75.84,2.17,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,NA
D5,14,36,1668,75.45,4.3,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D5,15,23,1437,74.95,8.06,Bacteria,Omnitrophota,koll11,NA,NA,NA,NA
D5,16,37,1918,74.58,2.16,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,NA
D5,17,27,1687,73.26,2.4,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,NA
D5,19,88,2605,71.2,4.35,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,NA
D5,20,23,1013,70.62,13.74,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,NA
D5,21,7,811,68.15,0,Bacteria,Patescibacteria,ABY1,GCA-002771165,NA,NA,NA
D5,22,6,782,67.77,1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D5,23,125,3633,67.09,8.89,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D5,24,138,3395,66.97,10.44,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,NA
D5,25,19,868,66.84,1.08,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D5,26,87,3308,65.88,0.81,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,NA,NA
D5,27,71,2418,65.32,2.03,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Didemnitutus,NA
D5,28,95,4239,63.76,19.22,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,NA,NA
D5,29,65,2175,63.67,7.95,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,NA
D5,30,49,1801,56.33,0.28,Bacteria,UBP1,PRR-12,NA,NA,NA,NA
D5,31,6,903,54.28,4.52,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D5,32,38,1810,50.7,10.28,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,NA
D5,33,38,1307,49.82,9.34,Bacteria,UBA9089,UBA9088,UBA9088,NA,NA,NA
D5,34,32,1927,45.28,9.15,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D5,35,78,2558,43.77,3.76,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalivibrionaceae,Thioalkalivibrio,GCF_000025545.1
D5,36,52,2391,41.69,1.87,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,NA,NA
D5,37,2,391,41.15,1.23,Bacteria,Patescibacteria,Paceibacteria,UBA6257,NA,NA,NA
D5,38,30,1441,36.94,0.08,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,NA,NA
D5,39,19,1446,36.58,3.37,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,NA
D5,40,48,1174,36.36,7.76,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,UBA2250,NA
D5,41,2,481,33.99,3.06,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Brennerbacteraceae,NA,NA
D5,42,10,949,32.7,0,Bacteria,Elusimicrobiota,Endomicrobia,Elusimicrobia-1,Elusimicrobia-1,Elusimicrobia-1,NA
D5,43,2,459,32.28,0.46,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,NA,NA
D5,44,16,623,31.67,2.69,Archaea,JdFR-18,JdFR-18,JdFR-18,NA,NA,NA
D5,47,124,4049,29.29,1.97,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,NA,NA
D5,48,58,723,29.19,0.96,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,NA,NA
D5,49,56,1440,28.67,1.72,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
D5,50,15,1552,25.31,0.84,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,NA,NA
D5,51,7,472,25.23,0.93,Archaea,JdFR-18,JdFR-18,JdFR-18,NA,NA,NA
D5,52,20,1048,25.22,2.69,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,NA,NA
D5,53,45,1667,21.93,0.82,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D5,54,19,2934,19.98,2.2,Archaea,Thermoplasmatota,CG49143,CG49143,NA,NA,NA
D5,55,34,541,19.81,1.39,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA
D5,56,14,418,16.36,0.16,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,NA,NA
D5,57,26,1473,14.79,0.65,NA,NA,NA,NA,NA,NA,NA
D5,58,4,619,14.73,0,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,NA,NA
D5,59,8,363,12.5,0,Bacteria,Actinobacteriota,UBA9087,UBA10029,UBA10029,UBA10029,NA
D6,1,137,3992,98.92,1.08,Bacteria,Planctomycetota,NA,NA,NA,NA,NA
D6,2,113,3542,98.88,0.56,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,NA,NA
D6,3,124,3203,98.88,1.68,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,4,145,6296,98.88,5.72,Bacteria,OLB16,OLB16,NA,NA,NA,NA
D6,5,76,2835,98.86,2.15,Bacteria,UBA3054,UBA3054,NA,NA,NA,NA
D6,6,229,6514,98.71,4.19,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,HGW-15,NA
D6,7,42,1663,98.67,0.89,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,UBA2284,NA
D6,8,80,3504,97.86,0.85,Bacteria,Actinobacteriota,RBG-13-55-18,RBG-13-55-18,RBG-13-55-18,NA,NA
D6,9,99,2881,97.31,1.08,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,NA
D6,10,123,3164,96.37,1.12,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,11,109,3838,96.36,2.91,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,UBA8950,NA
D6,12,170,6139,95.48,1.94,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA2245,NA,NA
D6,13,121,3793,95.32,2.26,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,NA,NA
D6,14,61,3018,94.38,0.19,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,GWF1-51-8,NA
D6,15,100,3507,92.73,1.82,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,NA
D6,16,86,3642,92.73,5.91,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
D6,17,142,4217,92.72,5.05,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,NA
D6,18,142,5065,92.56,0.81,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,NA,NA
D6,19,73,1893,91.38,1.27,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,NA,NA
D6,20,105,3665,91.02,4.77,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,20-14-all-51-8,NA,NA
D6,21,95,3105,90.66,1.29,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,NA,NA
D6,22,124,4097,90.59,3.7,Bacteria,Armatimonadota,NA,NA,NA,NA,NA
D6,23,40,1564,89.36,1.08,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D6,24,80,3010,89.09,1.79,Bacteria,Firmicutes,Alicyclobacillia,Tumebacillales,Effusibacillaceae,NA,NA
D6,25,75,2491,88.14,2.82,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,DTU022,NA,NA
D6,26,34,1459,88.11,1.08,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D6,27,85,3051,87.27,3.82,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA6092,NA,NA
D6,28,87,3341,86.83,0.56,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,29,95,3001,85.35,0.11,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,30,129,3816,83.39,2.67,Bacteria,Eremiobacterota,NA,NA,NA,NA,NA
D6,31,73,2227,83.24,3.3,Bacteria,UBP1,PRR-12,SSS58A,SSS58A,SSS58A,GCA_002403075.1
D6,32,72,2429,83.2,9.23,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,NA,NA
D6,33,79,2921,82.73,5.76,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,NA
D6,34,45,2197,82.2,1.13,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,NA
D6,35,72,2657,80.95,1.28,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,XYC2-FULL-35-21,NA,NA
D6,36,60,2480,80.51,0,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,NA
D6,37,40,1536,78.05,0.99,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA3254,NA,NA
D6,38,3,756,77.9,0,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,GWA2-45-9,NA
D6,39,7,1206,76.57,0.16,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,NA,NA
D6,40,69,2882,76,2.63,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,CG2-30-51-40,CG2-30-51-40,NA
D6,42,78,2641,74.63,0,Bacteria,Gemmatimonadota,GCA-2686955,NA,NA,NA,NA
D6,43,84,2814,72.73,2.91,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,NA
D6,44,4,1012,68.81,3.45,Bacteria,Patescibacteria,WWE3,UBA101185,UBA10185,OXYD1-FULL-39-9,NA
D6,45,63,2104,67.27,2.27,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,UBA11579,NA
D6,46,53,2262,65.45,8.38,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,NA
D6,47,4,982,64.76,0,Bacteria,Patescibacteria,ABY1,UBA10025,NA,NA,NA
D6,48,52,1739,64.74,1.1,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,NA,NA
D6,49,49,1942,64.24,0.47,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,NA,NA
D6,50,8,1089,63.43,0,Bacteria,Patescibacteria,Microgenomatia,Woykebacterales,NA,NA,NA
D6,51,51,2079,61.29,2.45,Bacteria,Firmicutes_E,DTU015,UBA995,NA,NA,NA
D6,52,122,4659,60.21,2.58,Bacteria,Myxococcota,UBA1671,NA,NA,NA,NA
D6,53,75,2018,60.13,0.5,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Sulfuricellaceae,UBA2239,NA
D6,54,2,863,58.91,0,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,Um-filter-40-11,NA,NA
D6,55,157,2766,58.77,0.54,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,NA,NA
D6,56,87,3560,57.27,7.73,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D6,57,3,828,56.9,0,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWB1-39-10,NA
D6,58,38,1837,53.68,0,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,NA,NA,NA
D6,59,4,867,53.56,0,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWC1-37-12b,NA
D6,60,45,2258,52.88,1.44,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,NA
D6,61,42,1776,56.36,0.18,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D6,62,54,2030,52.31,1.49,Bacteria,Firmicutes_E,DTU015,UBA8153,UBA8153,NA,NA
D6,63,1,713,51.49,0,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,NA,NA
D6,64,63,3428,51,4.09,Bacteria,Desulfobacterota,JdFR-97,JdFR-97,JdFR-97,NA,NA
D6,65,36,1687,50.02,0.56,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,NA
D6,66,28,1592,50,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1
D6,67,61,2253,49.11,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,NA
D6,68,64,1608,48.89,0.6,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D6,69,43,1950,48.16,0.91,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
D6,70,82,3467,46.55,5.17,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,NA,NA
D6,71,32,1370,43.88,2.05,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D6,72,32,1138,41.27,0,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,NA
D6,73,52,4262,40.28,4.72,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,NA
D6,74,20,1207,40.24,2.73,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,NA
D6,75,55,1690,39.2,0.6,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,NA,NA
D6,77,13,1140,33.65,4.95,Bacteria,Firmicutes_E,DTU015,UBA8153,NA,NA,NA
D6,79,82,1946,33.31,0.78,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,NA,NA
D6,80,19,1145,33.13,0.49,Bacteria,Firmicutes_E,UBA3569,NA,NA,NA,NA
D6,81,16,812,32.52,0,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,NA
D6,82,49,2144,32.05,0,Bacteria,Firmicutes_B,Thermincolia,Thermincolales,UBA2595,NA,NA
D6,83,6,670,31.88,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,NA
D6,84,86,2111,31.15,0,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,NA,NA
D6,85,29,1121,30.09,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,NA,NA
D6,86,32,2098,29.62,0,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,XYB12-FULL-38-5,NA
D6,87,25,1036,29.53,2.21,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,NA
D6,88,20,992,28.02,4.8,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D6,89,46,1991,27.03,1.81,Bacteria,Chloroflexota,NA,NA,NA,NA,NA
D6,90,35,1509,22.93,0.14,Bacteria,Deferrisomatota,Deferrisomatia,Deferrisomatales,Deferrisomataceae,NA,NA
D6,91,35,984,22.81,1.75,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D6,92,28,1390,22.35,1.22,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,NA,NA
D6,93,7,588,20.94,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,NA
D6,94,30,1306,18.21,1.62,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D6,95,19,940,17.46,1.94,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,NA,NA
D6,96,18,465,15.83,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
D6,97,9,528,15.52,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,NA
D6,98,11,525,14.5,0.91,Bacteria,Chloroflexota,Anaerolineae,SBR1031,UBA2029,NA,NA
D6,99,27,639,13.79,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,UBA11579,NA
D6,100,8,342,13.79,0,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,NA
SW,1,79,2359,99.15,0.82,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera_A,NA
SW,2,69,2492,98.9,0,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
SW,3,66,2389,97.8,0,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
SW,4,90,5786,97.44,4.84,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,Ga0077546,NA
SW,5,74,5594,97.44,3.56,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,NA,NA
SW,6,53,2827,97.12,0.48,Bacteria,Bacteroidota,Bacteroidia,AKYH767,GCA-2737665,NA,NA
SW,7,20,1943,96.96,2.03,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Ga0074140,NA,NA
SW,8,63,2616,95.95,0.48,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,NA,NA,NA
SW,9,68,3602,95.73,0.57,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,NA,NA
SW,10,32,1861,95.69,2.59,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,NA,NA,NA
SW,11,26,2520,95.27,4.73,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,12,43,2357,94.87,0,Bacteria,Cyanobacteriota,Vampirovibrionia,Caenarcaniphilales,2-02-FULL-35-15,NA,NA
SW,13,44,2122,94.26,0.68,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,14,49,2381,94.19,1.16,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,UBA1113,NA,NA
SW,15,85,3006,94.1,0.95,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ga0077548,NA
SW,16,20,1279,92.89,3.08,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
SW,17,37,1986,89.75,0.14,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,UBA6186,NA,NA
SW,18,37,2338,89.71,3.04,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,19,48,2417,87.36,1.72,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,Berkiellaceae,Berkiella,NA
SW,20,53,3050,87.18,1.42,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,NA,NA,NA
SW,21,84,7706,87.07,8.06,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,NA,NA,NA
SW,22,10,1225,85.89,0,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,NA
SW,23,11,1044,85.39,0,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilus,Vermiphilus pyriformis
SW,24,97,3180,84.8,0.59,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,Ga0077527,NA
SW,25,39,1615,83.91,0.96,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,NA,NA,NA
SW,26,65,2071,83.76,2.05,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077554,Ga007554,Ga0077554,NA
SW,27,37,1526,83.63,0.97,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,NA,NA
SW,28,25,1978,83.31,2.19,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,NA,NA,NA
SW,29,26,1828,83.11,1.82,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriaceae,NA,NA
SW,30,63,3242,82.51,5.36,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,NA,NA
SW,31,51,2454,77.59,0,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_B,NA
SW,32,41,2065,74.46,2.15,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
SW,33,26,1201,73.23,0.88,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,NA,NA
SW,34,6,695,71.81,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,GWA1-54-10,NA
SW,35,66,3408,70.69,0,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,2-12-FULL-35-15,NA
